timestamp,open,high,low,close
2018-11-05,0.24002000,0.25337000,0.23827000,0.24163000
2018-11-06,0.23879000,0.24314000,0.22554000,0.23800000
2018-11-07,0.23934000,0.25247000,0.23692000,0.25168000
2018-11-08,0.24690000,0.25884000,0.24206000,0.24700000
2018-11-09,0.24551000,0.25091000,0.23231000,0.23509000
2018-11-10,0.23519000,0.25236000,0.23124000,0.24100000
2018-11-11,0.23999000,0.24444000,0.23593000,0.24203000
2018-11-12,0.24110000,0.25307000,0.23800000,0.23990000
2018-11-13,0.23990000,0.24404000,0.22500000,0.22580000
2018-11-14,0.22674000,0.22732000,0.19331000,0.21044000
2018-11-15,0.21001000,0.21249000,0.19750000,0.20405000
2018-11-16,0.20509000,0.21192000,0.19500000,0.20717000
2018-11-17,0.20821000,0.21250000,0.20000000,0.20749000
2018-11-18,0.20872000,0.21000000,0.19900000,0.19943000
2018-11-19,0.20139000,0.20148000,0.16432000,0.18250000
2018-11-20,0.18082000,0.19000000,0.16774000,0.17977000
2018-11-21,0.18474000,0.19545000,0.17977000,0.18400000
2018-11-22,0.18400000,0.19500000,0.18000000,0.18000000
2018-11-23,0.18531000,0.20610000,0.16530000,0.19263000
2018-11-24,0.19263000,0.20113000,0.18750000,0.18750000
2018-11-25,0.18683000,0.19570000,0.18000000,0.18548000
2018-11-26,0.18180000,0.24525000,0.17377000,0.18519000
2018-11-27,0.18425000,0.20942000,0.18380000,0.19954000
2018-11-28,0.19659000,0.21473000,0.19500000,0.20886000
2018-11-29,0.20886000,0.22425000,0.20666000,0.20907000
2018-11-30,0.20711000,0.21061000,0.19472000,0.19867000
2018-12-01,0.20100000,0.22984000,0.20100000,0.21351000
2018-12-02,0.21313000,0.21768000,0.20498000,0.20607000
2018-12-03,0.20718000,0.21736000,0.19488000,0.21200000
2018-12-04,0.20343000,0.20739000,0.16966000,0.18181000
2018-12-05,0.17194000,0.17852000,0.15699000,0.16433000
2018-12-06,0.16433000,0.18574000,0.16344000,0.17806000
2018-12-07,0.18503000,0.21915000,0.18095000,0.20091000
2018-12-08,0.20091000,0.20956000,0.19297000,0.20028000
2018-12-09,0.20474000,0.20819000,0.19796000,0.19951000
2018-12-10,0.20158000,0.20853000,0.19405000,0.19405000
2018-12-11,0.19600000,0.19855000,0.18172000,0.18172000
